date,region,product,channel,revenue,units_sold,unit_price,marketing_spend,customer_satisfaction,returns
2025-01-01,North,Analytics Pro,Online,12400,155,80,3200,4.4,4
2025-01-08,South,Analytics Pro,Partner,9800,122,80,2600,4.1,5
2025-01-15,East,Insight Lite,Online,5400,108,50,1400,3.9,8
2025-01-22,West,Forecast Max,Direct,15120,126,120,4100,4.5,3
2025-02-01,North,Insight Lite,Online,6200,124,50,1550,4.0,7
2025-02-08,South,Forecast Max,Direct,14400,120,120,3900,4.3,4
2025-02-15,East,Analytics Pro,Partner,10400,130,80,2700,4.2,5
2025-02-22,West,Insight Lite,Online,5900,118,50,1500,3.8,9
2025-03-01,North,Forecast Max,Direct,16320,136,120,4400,4.6,2
2025-03-08,South,Insight Lite,Online,6600,132,50,1600,4.0,8
2025-03-15,East,Analytics Pro,Online,11200,140,80,2900,4.3,4
2025-03-22,West,Forecast Max,Partner,15600,130,120,4200,4.4,3
2025-04-01,North,Analytics Pro,Online,13600,170,80,3400,4.5,3
2025-04-08,South,Insight Lite,Partner,7000,140,50,1650,4.1,7
2025-04-15,East,Forecast Max,Direct,16920,141,120,4500,4.6,2
2025-04-22,West,Analytics Pro,Online,12000,150,80,3000,4.2,5
2025-05-01,North,Forecast Max,Direct,17760,148,120,4700,4.7,2
2025-05-08,South,Analytics Pro,Online,12800,160,80,3150,4.4,4
2025-05-15,East,Insight Lite,Partner,7300,146,50,1700,4.0,8
2025-05-22,West,Forecast Max,Direct,18120,151,120,4800,4.6,3
2025-06-01,North,Analytics Pro,Online,14240,178,80,3600,4.6,3
2025-06-08,South,Forecast Max,Direct,18840,157,120,5000,4.5,4
2025-06-15,East,Analytics Pro,Partner,11600,145,80,2950,4.2,5
2025-06-22,West,Insight Lite,Online,7600,152,50,1750,4.1,7
2025-07-01,North,Forecast Max,Direct,19680,164,120,5200,4.8,2
2025-07-08,South,Insight Lite,Online,7900,158,50,1820,4.2,6
2025-07-15,East,Analytics Pro,Online,13200,165,80,3300,4.5,4
2025-07-22,West,Forecast Max,Partner,19080,159,120,5100,4.5,3
2025-08-01,North,Analytics Pro,Direct,15200,190,80,3800,4.7,2
2025-08-08,South,Forecast Max,Direct,20400,170,120,5400,4.6,3
2025-08-15,East,Insight Lite,Online,8200,164,50,1900,4.2,6
2025-08-22,West,Analytics Pro,Partner,14000,175,80,3500,4.4,4
2025-09-01,North,Forecast Max,Direct,21600,180,120,5700,4.9,1
2025-09-08,South,Analytics Pro,Online,14800,185,80,3700,4.5,3
2025-09-15,East,Insight Lite,Partner,8500,170,50,1950,4.1,8
2025-09-22,West,Forecast Max,Direct,22200,185,120,5900,4.8,2
2025-10-01,North,Analytics Pro,Online,16000,200,80,4000,4.8,2
2025-10-08,South,Insight Lite,Online,9100,182,50,2100,4.3,6
2025-10-15,East,Forecast Max,Direct,23400,195,120,6200,4.7,2
2025-10-22,West,Analytics Pro,Partner,15200,190,80,3800,4.6,3
2025-11-01,North,Forecast Max,Direct,25200,210,120,6600,4.9,1
2025-11-08,South,Analytics Pro,Online,16800,210,80,4200,4.7,2
2025-11-15,East,Insight Lite,Partner,9400,188,50,2200,4.2,7
2025-11-22,West,Forecast Max,Direct,25800,215,120,6800,4.9,1
2025-12-01,North,Analytics Pro,Enterprise,47200,590,80,12000,4.9,1
2025-12-08,South,Forecast Max,Direct,27600,230,120,7200,4.8,2
2025-12-15,East,Insight Lite,Online,9800,196,50,2300,4.3,6
2025-12-22,West,Forecast Max,Enterprise,58800,490,120,15000,4.9,1
